Economy,Year,Economy Code,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
Aruba,2018,ABW,
Afghanistan,2018,AFG,0.21
Angola,2018,AGO,6.94
Albania,2018,ALB,7.17
Andorra,2018,AND,11.02
United Arab Emirates,2018,ARE,3.9
Argentina,2018,ARG,9.65
Armenia,2018,ARM,5.55
American Samoa,2018,ASM,
Antigua and Barbuda,2018,ATG,6.38
Australia,2018,AUS,10.51
Austria,2018,AUT,11.96
Azerbaijan,2018,AZE,4.41
Burundi,2018,BDI,7.19
Belgium,2018,BEL,11.08
Benin,2018,BEN,2.81
Burkina Faso,2018,BFA,12.03
Bangladesh,2018,BGD,0.019
Bulgaria,2018,BGR,12.65
Bahrain,2018,BHR,1.09
"Bahamas, The",2018,BHS,4.78
Bosnia and Herzegovina,2018,BIH,7.15
Belarus,2018,BLR,11.45
Belize,2018,BLZ,6.22
Bermuda,2018,BMU,
Bolivia,2018,BOL,4.43
Brazil,2018,BRA,7.42
Barbados,2018,BRB,9.69
Brunei Darussalam,2018,BRN,0.48
Bhutan,2018,BTN,0.43
Botswana,2018,BWA,6.59
Central African Republic,2018,CAF,2.38
Canada,2018,CAN,8.94
Switzerland,2018,CHE,11.53
Channel Islands,2018,CHI,
Chile,2018,CHL,9.07
China,2018,CHN,7.05
Cote d'Ivoire,2018,CIV,2.71
Cameroon,2018,CMR,5.65
"Congo, Dem. Rep.",2018,COD,2
"Congo, Rep.",2018,COG,9.27
Colombia,2018,COL,5.74
Comoros,2018,COM,0.69
Cabo Verde,2018,CPV,5.6
Costa Rica,2018,CRI,4.87
Cuba,2018,CUB,5.83
Curacao,2018,CUW,
Cayman Islands,2018,CYM,
Cyprus,2018,CYP,10.81
Czechia,2018,CZE,14.45
Germany,2018,DEU,12.91
Djibouti,2018,DJI,0.43
Dominica,2018,DMA,11.18
Denmark,2018,DNK,10.26
Dominican Republic,2018,DOM,6.68
Algeria,2018,DZA,0.95
Ecuador,2018,ECU,4.2
"Egypt, Arab Rep.",2018,EGY,0.36
Eritrea,2018,ERI,1.44
Spain,2018,ESP,12.72
Estonia,2018,EST,9.23
